COUNTY,SOVI_SCORE,RESL_SCORE,HWAV_EVNTS
Los Angeles,81.38999939,15.43999958,79.98785321
Los Angeles,31.82999992,15.43999958,85.03580651
Los Angeles,84.12999725,15.43999958,82.9826825
Los Angeles,94.91000366,15.43999958,78
Los Angeles,97.31999969,15.43999958,78
Los Angeles,49.08000183,15.43999958,90.1540044
Los Angeles,75.94000244,15.43999958,78
Los Angeles,41.18999863,15.43999958,78
Los Angeles,62.88000107,15.43999958,78
Los Angeles,30.89999962,15.43999958,78
Los Angeles,64,15.43999958,78
Los Angeles,27.31999969,15.43999958,78
Los Angeles,77.19000244,15.43999958,78
Los Angeles,88.56999969,15.43999958,78
Los Angeles,35.29999924,15.43999958,78
Los Angeles,22.69000053,15.43999958,78
Los Angeles,44.68000031,15.43999958,78
Los Angeles,41.65999985,15.43999958,78
Los Angeles,68.41000366,15.43999958,78
Los Angeles,98.77999878,15.43999958,78
Los Angeles,95.76999664,15.43999958,78
Los Angeles,81.66000366,15.43999958,78
Los Angeles,73.18998718,15.43999958,78
Los Angeles,86.33000183,15.43999958,78
Los Angeles,93.93000031,15.43999958,78
Los Angeles,70.76000214,15.43999958,78
Los Angeles,78.05000305,15.43999958,78
Los Angeles,79.91999817,15.43999958,78
Los Angeles,70.52999878,15.43999958,78
Los Angeles,68.91000366,15.43999958,78
Los Angeles,89.12999725,15.43999958,78
Los Angeles,71.01000214,15.43999958,78
Los Angeles,75.66999817,15.43999958,78
Los Angeles,78.88999939,15.43999958,78
Los Angeles,98.45999908,15.43999958,78
Los Angeles,88.29000092,15.43999958,78
Los Angeles,91.80999756,15.43999958,78
Los Angeles,88.84999847,15.43999958,78
Los Angeles,92.30999756,15.43999958,78
Los Angeles,70.40000153,15.43999958,78
Los Angeles,44.18000031,15.43999958,78
Los Angeles,43.13000107,15.43999958,78.21119154
Los Angeles,63.93000031,15.43999958,78.60004364
Los Angeles,66.18998718,15.43999958,81.49615234
Los Angeles,66.88999939,15.43999958,78
Los Angeles,65.33999634,15.43999958,78
Los Angeles,83.37000275,15.43999958,78
Los Angeles,62.50999832,15.43999958,78
Los Angeles,86.91000366,15.43999958,78
Los Angeles,72.47000122,15.43999958,78
Los Angeles,99.30000305,15.43999958,78
Los Angeles,88.59999847,15.43999958,78
Los Angeles,88.22000122,15.43999958,78.03237435
Los Angeles,89.31001282,15.43999958,78
Los Angeles,24.37999916,15.43999958,83.67850399
Los Angeles,93.01999664,15.43999958,78
Los Angeles,45.52000046,15.43999958,78
Los Angeles,32.08000183,15.43999958,78
Los Angeles,17.10000038,15.43999958,78
Los Angeles,19.86000061,15.43999958,78
Los Angeles,40.81999969,15.43999958,78
Los Angeles,92.20999908,15.43999958,78
Los Angeles,62.88000107,15.43999958,78
Los Angeles,72.43000031,15.43999958,78
Los Angeles,79.77999878,15.43999958,78
Los Angeles,12.30000019,15.43999958,78
Los Angeles,54.65000153,15.43999958,78
Los Angeles,4.070000172,15.43999958,78
Los Angeles,17.5,15.43999958,78
Los Angeles,33.24000168,15.43999958,78
Los Angeles,16.20000076,15.43999958,78
Los Angeles,14.23999977,15.43999958,78
Los Angeles,90.33000183,15.43999958,78
Los Angeles,43.22000122,15.43999958,78
Los Angeles,45.86000061,15.43999958,78
Los Angeles,55.11999893,15.43999958,78
Los Angeles,86.41000366,15.43999958,78
Los Angeles,44.72000122,15.43999958,78
Los Angeles,86.44999695,15.43999958,78
Los Angeles,54.59000015,15.43999958,78
Los Angeles,56.90999985,15.43999958,78
Los Angeles,76.79000092,15.43999958,78
Los Angeles,43.88999939,15.43999958,78
Los Angeles,34.79000092,15.43999958,78
Los Angeles,73.09999847,15.43999958,78
Los Angeles,14.43000031,15.43999958,78
Los Angeles,43.5,15.43999958,78
Los Angeles,33.00999832,15.43999958,78
Los Angeles,83.94000244,15.43999958,78
Los Angeles,67.79000092,15.43999958,78
Los Angeles,63.59000015,15.43999958,78
Los Angeles,33.84000015,15.43999958,78
Los Angeles,98.29000092,15.43999958,78
Los Angeles,41.40000153,15.43999958,78
Los Angeles,12.36999989,15.43999958,78
Los Angeles,35.02000046,15.43999958,77.81135288
Los Angeles,67.37000275,15.43999958,78
Los Angeles,53.52999878,15.43999958,78
Los Angeles,27.60000038,15.43999958,78
Los Angeles,36.81000137,15.43999958,78
Los Angeles,97.80000305,15.43999958,78
Los Angeles,35.68999863,15.43999958,78
Los Angeles,58.15999985,15.43999958,77.42079968
Los Angeles,58.52999878,15.43999958,78
Los Angeles,92.13999939,15.43999958,78
Los Angeles,76.94000244,15.43999958,78
Los Angeles,69.43000031,15.43999958,78
Los Angeles,63.52000046,15.43999958,78
Los Angeles,64.36000061,15.43999958,78
Los Angeles,51.31999969,15.43999958,78
Los Angeles,38.99000168,15.43999958,78
Los Angeles,84.23000336,15.43999958,78
Los Angeles,84.62999725,15.43999958,78
Los Angeles,77.63999939,15.43999958,78
Los Angeles,75.73000336,15.43999958,78
Los Angeles,50.77999878,15.43999958,78
Los Angeles,39.91999817,15.43999958,78
Los Angeles,18.93000031,15.43999958,78
Los Angeles,71.75,15.43999958,78
Los Angeles,72.05999756,15.43999958,78
Los Angeles,58.31000137,15.43999958,78
Los Angeles,69.59999847,15.43999958,78
Los Angeles,75.23000336,15.43999958,78
Los Angeles,91.26999664,15.43999958,78
Los Angeles,84.51999664,15.43999958,78
Los Angeles,75.56999969,15.43999958,78
Los Angeles,73.23999786,15.43999958,78
Los Angeles,71.26000214,15.43999958,78
Los Angeles,72.51999664,15.43999958,78
Los Angeles,96.90000153,15.43999958,78
Los Angeles,81.79000092,15.43999958,78
Los Angeles,28.26000023,15.43999958,78
Los Angeles,62.90000153,15.43999958,78
Los Angeles,43.65999985,15.43999958,78
Los Angeles,48.75,15.43999958,78
Los Angeles,93.91000366,15.43999958,78
Los Angeles,95.81001282,15.43999958,78
Los Angeles,91.5,15.43999958,78
Los Angeles,85.58999634,15.43999958,78
Los Angeles,99.37999725,15.43999958,78
Los Angeles,94.63999939,15.43999958,78
Los Angeles,68.08999634,15.43999958,78
Los Angeles,79.44999695,15.43999958,78
Los Angeles,70.62999725,15.43999958,78
Los Angeles,75.76000214,15.43999958,78
Los Angeles,78.05999756,15.43999958,78
Los Angeles,94.51000214,15.43999958,78
Los Angeles,87.48000336,15.43999958,78
Los Angeles,95.91000366,15.43999958,78
Los Angeles,93.05000305,15.43999958,78
Los Angeles,78.47000122,15.43999958,78
Los Angeles,83.35001373,15.43999958,78
Los Angeles,55.91999817,15.43999958,78
Los Angeles,46.27999878,15.43999958,78
Los Angeles,76.99001312,15.43999958,78
Los Angeles,70.18000031,15.43999958,78
Los Angeles,81.73999786,15.43999958,78
Los Angeles,97.02999878,15.43999958,78
Los Angeles,96.44999695,15.43999958,78
Los Angeles,98.20999908,15.43999958,78
Los Angeles,91.18998718,15.43999958,78
Los Angeles,91.72000122,15.43999958,78
Los Angeles,99.55000305,15.43999958,78
Los Angeles,95.37000275,15.43999958,78
Los Angeles,90.38999939,15.43999958,78
Los Angeles,72.66000366,15.43999958,78
Los Angeles,90.87000275,15.43999958,78
Los Angeles,72.62000275,15.43999958,78
Los Angeles,75.12999725,15.43999958,78
Los Angeles,66.75998688,15.43999958,78
